epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4389.74,1.80415,2.27663,1.04112,0.29133,0.15179,0.12918,0.06912,1.6725,1.5703,0.98661,0.000237706,0.000237706,0.000237706
2,8726.7,1.67663,1.59574,1.00283,0.27591,0.20207,0.16829,0.09256,1.61679,1.4149,0.9696,0.000428611,0.000428611,0.000428611
3,13104,1.6191,1.45302,0.98716,0.26604,0.23119,0.1958,0.10645,1.59382,1.32929,0.97048,0.000572392,0.000572392,0.000572392
4,17521.4,1.59499,1.37508,0.97972,0.29497,0.23905,0.21109,0.11585,1.55451,1.30821,0.95954,0.000501942,0.000501942,0.000501942
5,21914.7,1.5642,1.3164,0.97043,0.29122,0.24006,0.21511,0.11992,1.53837,1.26708,0.95577,0.000431256,0.000431256,0.000431256
6,26282.5,1.53504,1.26575,0.96283,0.31841,0.25168,0.22821,0.12925,1.51532,1.22247,0.94299,0.00036057,0.00036057,0.00036057
7,30670.1,1.51685,1.22958,0.95792,0.33492,0.25841,0.24371,0.13711,1.49588,1.1882,0.94298,0.000289884,0.000289884,0.000289884
8,35063.6,1.50046,1.19782,0.9522,0.33605,0.26147,0.24273,0.1395,1.47128,1.15659,0.93725,0.000219198,0.000219198,0.000219198
9,39441.5,1.4782,1.16594,0.94679,0.34216,0.26695,0.24898,0.14086,1.46895,1.14701,0.93564,0.000148512,0.000148512,0.000148512
10,43695.3,1.4638,1.14383,0.94381,0.35377,0.274,0.25755,0.14677,1.45277,1.1308,0.93379,7.7826e-05,7.7826e-05,7.7826e-05
